Gary Kelly,"Regarding the risks of coronavirus transmission on an airplane, “It’s as safe as an environment as you’re going to find.”",Gary Kelly is the chief executive officer of Dallas-based Southwest Airlines.,"The CEO of Southwest Airlines said during a TV interview that the risks of COVID-19 transmission on an airplane are no greater than anywhere else and that ""it’s as safe as an environment as you’re going to find.""  Research shows that airplanes’ strong ventilation systems do filter out virus particles. However, studies also indicate that some level of risk regarding the transmission of an infectious disease persists, particularly if you are seated near a contagious person. And passengers’ ability to take steps to mitigate that risk is limited.   Kelly’s statement contained an element of truth regarding planes’ air filtration and mitigation steps taken by the industry, but he took it a bit too far and left out key pieces of information and context.  ",Victoria Knight,https://www.politifact.com/factchecks/2020/may/11/gary-kelly/southwest-ceos-boast-about-airplanes-low-covid-ris/,barely-true
Facebook posts,Georgia Gov. Brian Kemp “mandates restaurants reopen”,"Posters on Facebook and other social media networks.
 ","Gianoulidis wrote in a Facebook post that Georgia Gov. Brian Kemp ""mandates restaurants reopen."" Kemp’s order didn’t force restaurants to reopen, but it allowed them to reopen as long as they follow 39 conditions. Many have determined that they will not open their dining rooms, due to health, safety or financial reasons. The challenges and pain faced by restaurant owners is real, but the specific claim about Kemp’s order mandating restaurants to reopen is wrong. ",Amy Sherman,https://www.politifact.com/factchecks/2020/may/08/facebook-posts/worries-restaurant-owners-are-real-post-saying-geo/,false
Facebook posts,Central Park hospital tents housed thousands of abused children released from underground captivity.,"Posters on Facebook and other social media networks.
 ","A post claims, ""Thousands of babies and children are being brought up out of underground tunnels in New York's Central Park by military personal (sic), during the night and placed in tents brought in by Franklin Graham's Samaritan's Purse.""  The Central Park hospital treated coronavirus patients. There is no evidence to support the claim that it housed abused children released from captivity. It appears the claim originated with the QAnon conspiracy group. Samaritan’s Purse said the claims are false. ",Madison Czopek,https://www.politifact.com/factchecks/2020/may/08/facebook-posts/central-park-field-hospital-treated-coronavirus-pa/,pants-fire
Bloggers,Says Mike Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy.,Blog posting on the Internet,Posts used video from Jimmy Kimmel to claim Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy. That’s not what happened.  ,Samantha Putterman,https://www.politifact.com/factchecks/2020/may/08/blog-posting/mike-pence-didnt-pretend-carry-empty-boxes-ppe-cli/,false
Greg Abbott,“Texas ranks 3rd highest among states for the number of people who have recovered from” the coronavirus.,"Greg Abbott won election as governor of Texas in November 2014, carrying 59 percent of the vote. Abbott was re-elected in 2018. Abbott, a former member of the Texas Supreme Court, served three terms as the state's attorney general before being succeeded by Ken Paxton in early 2015.","Abbott said Texas ranks third among states for the number of people who have recovered from the coronavirus. The available figures on cumulative COVID-19 recoveries by state show that Texas ranks third — but that data has limitations. For one, just 37 states and Washington D.C. have been recording data on recoveries. Also, different standards are in place for determining whether a patient has recovered. In Texas, the statewide figure for recoveries is an estimate based on hospitalization data. Plus, a better metric for comparison is the recovery rate of the virus, given Texas’ population size. Using this measure, Texas ranks 16th among those states with data. ",Madlin Mekelburg,https://www.politifact.com/factchecks/2020/may/08/greg-abbott/recovery-data-coronavirus-lacking/,half-true
Warren Daniel,"North Carolina’s health department is ""telling hospitals that if they decide to do elective surgeries, they won’t be eligible to receive (protective equipment) from the state.”","Warren Daniel is a state Senator in North Carolina's 46th district, which includes Avery, Burke and Caldwell counties.","Sen. Daniel tweeted: ""It’s being reported that NC DHHS is telling hospitals that if they decide to do elective surgeries, they won’t be eligible to receive PPE from the state."" Let’s break that down. The only ""report"" Daniel cited -- and the only report PolitiFact could track down -- was a conversation between a DHHS staffer and a representative for the North Carolina Healthcare Association. DHHS denied that the staffer said what the association’s representative claimed, describing their conversation as a misunderstanding.  Daniel said ""DHHS is telling hospitals"" about the conditions for receiving PPE. But hospitals who spoke to PolitiFact said they were never given the alleged ultimatum.  Daniel’s tweet also tied the ultimatum to secretary Cohen. But, in her email to PolitiFact, the association’s representative didn’t tie the ""notion"" to Cohen, and we couldn’t find any other evidence that DHHS threatened to withhold PPE from hospitals that resumed elective surgeries.  This leaves us with a he said-she said situation about a claim that never came to fruition. Given Daniel’s claim lacks evidence, we rate it false. ",Paul Specht,https://www.politifact.com/factchecks/2020/may/08/warren-daniel/no-evidence-mandy-cohen-threatened-withhold-ppe-nc/,false
Facebook posts,“So 2 doctors from Bakersfield discover that coronavirus mortality rate is 0.03%. 13x less deadly than what was previously thought! Their analysis has since been banned from YouTube.”,"Posters on Facebook and other social media networks.
 ","A Facebook post said: ""So 2 doctors from Bakersfield discover that coronavirus mortality rate is 0.03%. 13x less deadly than what was previously thought! Their analysis has since been banned from YouTube."" The Bakersfield doctors used testing data to argue that the death rate for COVID-19 infections is 0.03%. Their conclusions were disputed by experts and leading medical associations. The video was removed by YouTube, according to reports. ",Bill McCarthy,https://www.politifact.com/factchecks/2020/may/07/facebook-posts/facebook-post-cites-doctors-widely-disputed-calcul/,barely-true
Liberty Counsel,"Under the mayor’s COVID-19 order, Kansas City “churchgoers must register with the government.”","The Liberty Counsel advances religious freedom, the sanctity of human life and the traditional family.
","An article shared on Facebook claimed that under a Kansas City mayor’s COVID-19 order, Kansas City ""churchgoers must register with the government."" As part of an order governing the gradual reopening of the city, the mayor initially ordered churches to keep lists of people attending church gatherings so that attendees could be contacted if a coronavirus outbreak traced to a particular gathering occurred. Four days later, that order was changed to make attendance list keeping recommended, but not mandatory.  However, no order ever required churchgoers to register with the government. In the event of a COVID-19 outbreak, however, it’s possible that names on attendance lists kept by churches would be turned over to the city. ",Tom Kertscher,https://www.politifact.com/factchecks/2020/may/07/liberty-counsel/no-churchgoers-dont-have-register-government/,barely-true
Facebook posts,Says the current survival rate for COVID-19 in the U.S. is “98.54%”,"Posters on Facebook and other social media networks.
 ","A Facebook post says the ""current survival rate for COVID-19 in the US is 98.54%."" This is problematic for several reasons. In an ongoing pandemic with incomplete numbers, mortality rates should be viewed with caution. There are a slew of factors to take into account such as variations among demographic groups that skew data, a lack of testing, and the number of active cases.  Even discounting these factors, based on current projections, the 98.54% figure is incorrect. If you include all the confirmed cases, the number is about 94%. And while both numbers may sound high, they indicate a fatality rate that is more than 10 times that of the seasonal flu.   Ultimately, declaring an accurate U.S. survival rate will be difficult until most cases are resolved and more complete and accurate data is released. ",Samantha Putterman,https://www.politifact.com/factchecks/2020/may/07/facebook-posts/facebook-post-shares-flawed-covid-19-survival-stat/,half-true
Kirsten Gillibrand,“Immigrants make up a majority of essential workers in places like New York City.”,"Kirsten Gillibrand is a senator from New York. Gillibrand was appointed as senator in 2009 to fill Hillary Clinton’s vacated seat, as Clinton became U.S. Secretary of State under Barack Obama. Gillibrand won a special election in 2010 to retain her senate seat and won re-elections in 2012 and 2018. From 2007 to 2009, she served as the representative of New York’s 20th Congressional District. Gillibrand received a bachelor’s degree in Asian Studies from Dartmouth College and a J.D. from UCLA School of Law. In 2019, she ran for the Democratic nomination for president and dropped out in August.","Gillibrand said that ""immigrants make up a majority of essential workers in places like New York City."" This number is backed up by a New York City comptroller’s office study that found that 53% of all ""frontline"" workers in the city are immigrants. However, the comptroller office’s definition, which doesn’t include government workers such as first responders and which differs from the state’s definition of ""essential workers,"" is only one way of analyzing the data, and other methods might produce a lower percentage. ",Jaren Holmes,https://www.politifact.com/factchecks/2020/may/07/kirsten-gillibrand/do-immigrants-make-majority-essential-workers-new-/,mostly-true
Facebook posts,"Gas is under $1 in 13 states, but $2.27 in Pennsylvania, because of the governor.","Posters on Facebook and other social media networks.
 ","A Facebook post blamed Pennsylvania Gov. Tom Wolf for gas prices in Pennsylvania being higher than in 13 other states, where prices had dropped recently to lower than $1 per gallon in some places, while prices in Pennsylvania were above $2 A recent survey found gas prices under $1 in 13 states.  Pennsylvania has the second-highest gas tax in the nation and gas taxes are a major reason why gas is more expensive in Pennsylvania. But large increases in Pennsylvania’s gas tax took place under a law that was adopted before Wolf was elected. And there are other reasons — distance from supply, supply disruptions, and retail competition and operating costs — that cause gas prices to vary by region. ",Tom Kertscher,https://www.politifact.com/factchecks/2020/may/07/facebook-posts/cant-blame-governor-high-pennsylvania-gas-prices/,barely-true
